% Project data log with Unity & Haptic device
% Unity Version :2019.4.32f1
% Windows Version : 10.0.19044.0
% Haptic Plugin Version : PluginVersion=0.9, PluginBuild=Sep 24 2018, OpenHapticsVersion=3.50.0
% Generated By : Datalogger.cs 
% 4/14/2024 8:56:29 PM
% 
% Format Description : 
%   CurrTime    PointerPosX    PointerPosY    PointerPosZ    PointerRotX    PointerRotY    PointerRotZ    PointerRotW       ConePosX       ConePosY       ConePosZ        Started   PathFinished         AllEnd       DistTrav
    0.024000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.028000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.028000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.800000       0.000000       0.000000              0              0              0       0.000000
    0.066000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.067000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.067000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.116000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.116000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.145000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.145000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.169000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
    0.191000       0.000000      -6.551071       8.811419       0.937356      -0.277204      -0.058484      -0.202734      -3.600000       0.000000       0.000000              0              0              0       0.000000
